season,lg,player,player_id,age,team,pos,g,gs,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp
2002.0,NBA,Vinny Del Negro,delnevi01,35.0,PHO,PG,2.0,0.0,6.0,7.1,0.25,0.0,0.0,0.0,0.0,0.0,54.3,0.0,0.0,0.0,29.9,0.0,0.0,0.0,-0.141,-5.6,-7.5,-13.2,0.0
2002.0,NBA,Derrick Dial,dialde01,26.0,2TM,SG,32.0,0.0,299.0,11.0,0.387,0.092,0.2,5.2,16.0,10.6,18.6,1.8,1.0,10.9,22.1,-0.3,0.4,0.1,0.02,-2.6,0.5,-2.1,0.0
2002.0,NBA,Derrick Dial,dialde01,26.0,NJN,SG,25.0,0.0,249.0,9.3,0.358,0.074,0.191,5.4,15.0,10.1,19.3,1.7,1.2,11.3,20.7,-0.4,0.4,0.0,0.002,-3.1,0.9,-2.2,0.0
2002.0,NBA,Derrick Dial,dialde01,26.0,TOR,SG,7.0,0.0,50.0,19.1,0.489,0.154,0.231,4.5,21.4,12.6,15.4,2.2,0.0,9.5,28.9,0.0,0.1,0.1,0.106,0.1,-1.6,-1.5,0.0
2002.0,NBA,Michael Dickerson,dickemi01,26.0,MEM,SG,4.0,4.0,124.0,6.4,0.425,0.438,0.125,2.7,8.1,5.4,12.1,1.3,0.6,13.6,21.5,-0.2,0.0,-0.1,-0.05,-3.9,-0.9,-4.8,-0.1
2002.0,NBA,DeSagana Diop,diopde01,20.0,CLE,C,18.0,1.0,109.0,3.2,0.401,0.0,0.172,5.4,12.8,9.2,7.3,0.5,6.7,27.8,18.2,-0.4,0.1,-0.3,-0.124,-9.4,-0.2,-9.5,-0.2
2002.0,NBA,Vlade Divac,divacvl01,33.0,SAC,C,80.0,80.0,2420.0,17.0,0.513,0.018,0.475,9.2,20.2,14.8,17.9,1.6,2.6,15.4,18.4,3.1,4.2,7.3,0.145,0.7,2.1,2.8,2.9
2002.0,NBA,Michael Doleac,doleami01,24.0,CLE,C,42.0,15.0,705.0,8.8,0.468,0.0,0.246,7.9,20.0,14.0,5.6,1.1,1.1,15.1,15.9,-0.1,0.4,0.3,0.022,-4.4,-1.3,-5.6,-0.6
2002.0,NBA,Keyon Dooling,doolike01,21.0,LAC,PG,14.0,0.0,155.0,7.4,0.466,0.246,0.211,0.0,2.2,1.1,12.7,1.4,1.3,13.8,21.1,-0.1,0.0,0.0,-0.01,-4.0,-1.0,-5.0,-0.1
2002.0,NBA,Bryce Drew,drewbr01,27.0,CHH,PG,61.0,0.0,774.0,12.4,0.539,0.401,0.159,2.1,8.5,5.3,20.7,2.2,0.2,14.5,13.4,1.0,0.7,1.7,0.105,-0.7,0.7,0.0,0.4
2002.0,NBA,Predrag Drobnjak,drobnpr01,26.0,SEA,C,64.0,12.0,1174.0,12.7,0.49,0.005,0.176,7.7,14.2,11.0,6.9,0.9,2.0,10.3,19.7,0.8,0.8,1.6,0.065,-2.0,-1.5,-3.4,-0.4
2002.0,NBA,Chris Dudley,dudlech02,36.0,POR,C,43.0,2.0,327.0,7.1,0.424,0.04,0.3,9.6,19.3,14.4,5.7,0.5,3.3,19.8,9.9,-0.1,0.4,0.3,0.042,-4.9,-0.1,-5.0,-0.2
2002.0,NBA,Tim Duncan,duncati01,25.0,SAS,PF,82.0,82.0,3329.0,27.0,0.576,0.007,0.466,9.6,25.9,18.0,18.3,1.0,4.3,12.7,29.0,10.7,7.1,17.8,0.257,5.4,2.2,7.6,8.0
